Ann Date,Surprise,Ticker
2025-05-01,,AAPL
2025-01-30,0.021276595744680774,AAPL
2024-10-31,-0.39299123904881106,AAPL
2024-08-01,0.039346696362286514,AAPL
2024-05-02,0.018641810918774985,AAPL
2024-02-01,0.03710751665080889,AAPL
2023-11-02,0.047345767575322856,AAPL
2023-08-03,0.0456431535269709,AAPL
2023-05-04,0.060711793440334935,AAPL
2023-02-02,-0.031427099433281896,AAPL
2022-10-27,0.020569620253164576,AAPL
2022-07-28,0.03270223752151466,AAPL
2022-04-28,0.06816584680252985,AAPL
2022-01-27,0.10526315789473695,AAPL
2021-10-28,0.0032362459546925594,AAPL
2021-07-27,0.2833168805528136,AAPL
2021-04-28,0.4127144298688193,AAPL
2021-01-27,0.18560338743824975,AAPL
2020-10-29,0.03988603988603993,AAPL
2020-07-30,0.24517374517374518,AAPL
2020-04-30,0.13475177304964553,AAPL
2020-01-28,0.09281961471103337,AAPL
2019-10-30,0.06891701828410696,AAPL
2019-07-30,0.038095238095238126,AAPL
2019-04-30,0.03709949409780779,AAPL
2019-01-29,0.0028790786948175544,AAPL
2018-11-01,0.04748201438848926,AAPL
2018-07-31,0.07142857142857129,AAPL
2018-05-01,0.03484848484848488,AAPL
2018-02-01,0.012486992715920927,AAPL
2017-11-02,0.1068376068376068,AAPL
2017-08-01,0.06091370558375626,AAPL
2017-05-02,0.03754940711462454,AAPL
2017-01-31,0.04218362282878402,AAPL
2016-10-25,0.0072289156626506096,AAPL
2016-07-26,0.02305475504322769,AAPL
2016-04-26,-0.051896207584830385,AAPL
2016-01-26,0.017369727047146278,AAPL
2015-10-27,0.040339702760084965,AAPL
2015-07-21,0.019823788546255522,AAPL
2015-04-27,0.07763401109057287,AAPL
2015-01-27,0.1769230769230769,AAPL
2014-10-20,0.08895705521472383,AAPL
2014-07-22,0.03559870550161816,AAPL
2014-04-23,0.14010989010989008,AAPL
2025-04-25,,ABBV
2025-01-31,-0.07764705882352943,ABBV
2024-10-30,-0.33470648815653964,ABBV
2024-07-25,-0.16426063207179095,ABBV
2024-04-26,-0.3306379155435759,ABBV
2024-02-02,-0.2588703837798696,ABBV
2023-10-27,-0.28952916373858056,ABBV
2023-07-27,-0.25815704553603447,ABBV
2023-04-27,-0.3482324258431531,ABBV
2023-02-09,-0.21019830028328612,ABBV
2022-10-28,-0.23434004474272932,ABBV
2022-07-29,-0.2031908488862132,ABBV
2022-04-29,-0.2492043284532145,ABBV
2022-02-02,-0.24320195539260625,ABBV
2021-10-29,-0.238495024875622,ABBV
2021-07-30,-0.30185004868549176,ABBV
2021-04-30,-0.2611671469740633,ABBV
2021-02-03,-0.25518453427065024,ABBV
2020-10-30,-0.34248554913294793,ABBV
2020-07-31,-0.2651036970243463,ABBV
2020-05-01,-0.025526197939991016,ABBV
2020-02-07,-0.09198542805100189,ABBV
2019-11-01,-0.07739396589418454,ABBV
2019-07-26,-0.09690627843494079,ABBV
2019-04-25,-0.061680427391937936,ABBV
2019-01-25,-0.10784313725490188,ABBV
2018-11-02,-0.021825396825396845,ABBV
2018-07-27,-0.06781376518218618,ABBV
2018-04-26,-0.048522030117122125,ABBV
2018-01-26,-0.0587422252937111,ABBV
2017-10-27,-0.07220216606498202,ABBV
2017-07-28,-0.07219442458899213,ABBV
2017-04-27,-0.08795562599049127,ABBV
2017-01-27,-0.08270676691729321,ABBV
2016-10-28,-0.07890365448504981,ABBV
2016-07-29,-0.02083333333333326,ABBV
2016-04-28,-0.08939526730937782,ABBV
2016-01-29,-0.05530776092774314,ABBV
