Ticker,CAR
MLM,0.023438844867688713
CBRE,0.020506132324730614
AVGO,0.01790985294530194
LIN,0.012914014664877833
TPR,0.011139046499005732
TSM,0.009993060408622004
PH,0.009816928851488145
GE,0.00966157461177724
SPGI,0.00931220096144464
UNH,0.009121097290689014
WYNN,0.008626796279585949
AME,0.008486877865947411
PM,0.008365181385357918
WMT,0.007376188911559479
RTX,0.007128206286836522
ABBV,0.007097928722142911
MCD,0.006400900592283175
DHR,0.006291489299051706
MA,0.006021655592600603
ACN,0.005870421053866387
PG,0.004998006344635558
META,0.004956058570397905
AMZN,0.004764953003668452
PEP,0.004390736402551067
JNJ,0.0039037113634156936
MS,0.003793911512661804
AAPL,0.0035510463700420426
BAC,0.0031997610568542494
KO,0.002993009106318956
EW,0.0028675574102976537
TMO,0.0028223798042923713
TXN,0.0025543619599144073
ORCL,0.002081501448591226
HD,0.0015792655900102029
NVDA,0.0015411881964860195
HON,0.0010564692852779239
NKE,0.001004164786398624
GOOGL,0.00039398162884889473
QCOM,-0.00030009974947314984
JPM,-0.0003721273907749317
INTC,-0.00043093551492293027
ADBE,-0.00044018955984881017
CRM,-0.00136300873633814
NFLX,-0.0014458288215618376
EMN,-0.0016508372104838249
IBM,-0.0019004697636417853
V,-0.002417507010817719
MSFT,-0.0028385405665380978
UPS,-0.0030729839248865767
AMGN,-0.0032862090906123514
COST,-0.004855178135641777
CVX,-0.005066212971451994
MRK,-0.005218345498749868
WFC,-0.006068137081771069
XOM,-0.006154387084123463
CAT,-0.00632139782557217
EL,-0.007983658724748266
LLY,-0.00854847791429462
TSLA,-0.012692838387440097
AMD,-0.013793354831005201
